drug	proximity	pval	similarity	adjusted_similarity	TTD_association
danazol	0.4	0.00891380748804811	0.866666666666667	0.999337447943734	Menorrhagia 
daratumumab	0	0.0157595530055813	1	0.999953690253642	Multiple myeloma 
darolutamide	0	0.0141113739999048	1	0.999953690253642	Prostate cancer 
defibrotide	0.666666666666667	0.0342115578677477	0.777777777777778	0.996106348253381	Hepatic veno-occlusive disease 
defibrotide	0.666666666666667	0.0342115578677477	0.777777777777778	0.996106348253381	Diabetic nephropathy 
denileukin diftitox	0.333333333333333	0.000672119465681958	0.888888888888889	0.999574707998722	leukaemia 
denileukin diftitox	0.333333333333333	0.000672119465681958	0.888888888888889	0.999574707998722	Non-small-cell lung cancer 
denosumab	0	0.000958758037258479	1	0.999953690253642	Prostate cancer 
denosumab	0	0.000958758037258479	1	0.999953690253642	Postmenopausal osteoporosis 
denosumab	0	0.000958758037258479	1	0.999953690253642	Rheumatoid arthritis 
desogestrel	0	4.10349678958117e-05	1	0.999953690253642	Contraception 
dexamethasone	0.6	0.0323886758786743	0.8	0.997497768760333	Rheumatoid arthritis 
dexibuprofen	0.666666666666667	0.00010867058385464	0.777777777777778	0.996106348253381	Ankylosing spondylitis 
dexlansoprazole	0.666666666666667	0.00231012759180464	0.777777777777778	0.996106348253381	Peptic ulcer 
dexlansoprazole	0.666666666666667	0.00231012759180464	0.777777777777778	0.996106348253381	Non-erosive gastro-esophageal reflux disease 
dexlansoprazole	0.666666666666667	0.00231012759180464	0.777777777777778	0.996106348253381	Erosive esophagitis 
dexlansoprazole	0.666666666666667	0.00231012759180464	0.777777777777778	0.996106348253381	NSAID-associated gastric ulcer 
diclofenac	0	0.000215067158247367	1	0.999953690253642	Osteoarthritis 
diethylcarbamazine	0.5	0.00743309710846585	0.833333333333333	0.998712041224032	Lymphatic filariasis 
diflunisal	0	1.56486355842787e-05	1	0.999953690253642	Pain 
dinoprostone	1	0.01542992844928	0.666666666666667	0.965333637200135	Medical abortion 
dipivefrin	0.8	0.0262516331326951	0.733333333333333	0.990597991988683	Chronic open-angle glaucoma 
donepezil	0.933333333333333	0.0378420206518606	0.688888888888889	0.977473184500297	Alzheimer disease 
doxepin	1.15789473684211	0.0117223510592895	0.614035087719297	0.906883774524068	Depression 
drospirenone	0.25	0.00394496696416136	0.916666666666667	0.999755673275368	Contraception 
drotrecogin alfa	0.833333333333333	0.00450387512363654	0.722222222222222	0.988290836073263	Severe sepsis 
drotrecogin alfa	0.833333333333333	0.00450387512363654	0.722222222222222	0.988290836073263	Cerebrovascular ischaemia 
dupilumab	0	0.00634771342066102	1	0.999953690253642	Atopic dermatitis 
dupilumab	0	0.00634771342066102	1	0.999953690253642	Asthma 
durvalumab	0	4.69855392851235e-05	1	0.999953690253642	Urothelial carcinoma 
dydrogesterone	0	4.10349678958117e-05	1	0.999953690253642	Menstrual disorder 
eculizumab	0	0.0124478483681481	1	0.999953690253642	Age-related macular degeneration 
efalizumab	0	1.00191525130104e-16	1	0.999953690253642	Psoriasis vulgaris 
efalizumab	0	1.00191525130104e-16	1	0.999953690253642	Renal transplantation 
emapalumab	0	0.00642889704118585	1	0.999953690253642	Primary haemophagocytic lymphohistiocytosis 
enalapril	0	0.0138150546214141	1	0.999953690253642	Hypertension 
enalaprilat	0.5	0.00553635972622351	0.833333333333333	0.998712041224032	Hypertension 
enoximone	0	0.000109654864703868	1	0.999953690253642	Congestive heart failure 
enprofylline	0.833333333333333	0.0105962837652991	0.722222222222222	0.988290836073263	Asthma 
erenumab	0	0.00707124038333861	1	0.999953690253642	Hyperprolactinaemia 
esmolol	0	0.0106586025352712	1	0.999953690253642	Acute supraventricular tachycardia 
esomeprazole	0.5	0.00824911011469896	0.833333333333333	0.998712041224032	Peptic ulcer 
estrone	0.2	0.00726270241047524	0.933333333333333	0.999824804040368	Menopausal and postmenopausal disorder 
etanercept	0.0769230769230769	1.30869151343816e-14	0.974358974358974	0.99992274419174	Sciatica 
etanercept	0.0769230769230769	1.30869151343816e-14	0.974358974358974	0.99992274419174	Pemphigus vulgaris 
etanercept	0.0769230769230769	1.30869151343816e-14	0.974358974358974	0.99992274419174	Arthritis 
ethinamate	0.5	0.00475262930189152	0.833333333333333	0.998712041224032	Insomnia 
ethynodiol diacetate	0	0.000370197764702743	1	0.999953690253642	Contraception 
etodolac	0.333333333333333	0.000104410409855031	0.888888888888889	0.999574707998722	Pain 
etonogestrel	0	0.000143540578803737	1	0.999953690253642	Contraception 
etoricoxib	0	0.00166977083450618	1	0.999953690253642	Rheumatoid arthritis 
exemestane	0	0.00960400493048852	1	0.999953690253642	Hormonally-responsive breast cancer 
fenoprofen	0.25	0.000522861835383114	0.916666666666667	0.999755673275368	Rheumatoid arthritis 
fenoterol	0	3.81786578405273e-07	1	0.999953690253642	Asthma 
floxuridine	0	0.000120538516227595	1	0.999953690253642	Solid tumour/cancer 
floxuridine	0	0.000120538516227595	1	0.999953690253642	Colorectal cancer 
flufenamic acid	0.5	0.0207213533055275	0.833333333333333	0.998712041224032	Dysmenorrhea 
fluocinolone acetonide	0.666666666666667	0.00616066356539009	0.777777777777778	0.996106348253381	Inflammation 
fluorouracil	0	0.00141806632782734	1	0.999953690253642	Tumour 
fluorouracil	0	0.00141806632782734	1	0.999953690253642	Solid tumour/cancer 
flurbiprofen	0	0.000150034456017074	1	0.999953690253642	Rheumatoid arthritis 
fluticasone	0.5	0.0153312027460797	0.833333333333333	0.998712041224032	Allergic rhinitis 
folic acid	1	0.0456879708436651	0.666666666666667	0.965333637200135	Vitamin deficiency 
formoterol	0	0.000181270188819275	1	0.999953690253642	Asthma 
fosinopril	0	0.0138258183538257	1	0.999953690253642	Hypertension 
fostamatinib	0.972972972972973	0.000763064852750966	0.675675675675676	0.970872877869695	Immune thrombocytopenic purpura 
fostamatinib	0.972972972972973	0.000763064852750966	0.675675675675676	0.970872877869695	Rheumatoid arthritis 
gemtuzumab ozogamicin	0.181818181818182	2.08719875162924e-13	0.939393939393939	0.99984476283773	Acute myeloid leukaemia 
gentamicin	0.5	0.0063490200035374	0.833333333333333	0.998712041224032	Bacterial infection 
gestrinone	0.5	0.0416467380771212	0.833333333333333	0.998712041224032	Breast cancer 
glucosamine	0	8.19313163365515e-08	1	0.999953690253642	Osteoarthritis 
golimumab	0	0.000137262833944128	1	0.999953690253642	Inflammatory bowel disease 
golimumab	0	0.000137262833944128	1	0.999953690253642	Rheumatoid arthritis 
human thrombin	0.625	0.000518798431653956	0.791666666666667	0.997046280265764	Bleeding disorder 
hydroxocobalamin	1.11111111111111	0.00290299693037397	0.62962962962963	0.930048617299973	Vitamin B12 deficiency 
hydroxocobalamin	1.11111111111111	0.00290299693037397	0.62962962962963	0.930048617299973	Lung injury 
hydroxychloroquine	0	0.0014534568667212	1	0.999953690253642	Malaria 
ibalizumab	0.333333333333333	3.64119247814276e-05	0.888888888888889	0.999574707998722	Human immunodeficiency virus-1 infection 
ibuprofen	0.6	0.00167280905792544	0.8	0.997497768760333	Pain 
icatibant	0.5	0.00253341447992248	0.833333333333333	0.998712041224032	Hereditary angioedema 
icosapent	0.909090909090909	0.0152124460599231	0.696969696969697	0.980764204865306	Thrombin deficiency 
icosapent	0.909090909090909	0.0152124460599231	0.696969696969697	0.980764204865306	Hypertriglyceridemia 
icosapent	0.909090909090909	0.0152124460599231	0.696969696969697	0.980764204865306	Hyperglyceridemia 
imiquimod	0	5.8204034955892e-05	1	0.999953690253642	Skin cancer 
infliximab	0	4.10349678958117e-05	1	0.999953690253642	Asthma 
infliximab	0	4.10349678958117e-05	1	0.999953690253642	Rheumatoid arthritis 
infliximab	0	4.10349678958117e-05	1	0.999953690253642	Plaque psoriasis 
interferon alfa-2b	0.5	0.0170314536518801	0.833333333333333	0.998712041224032	Melanoma 
interferon alfa-n1	0.5	0.0344995759627837	0.833333333333333	0.998712041224032	Chronic myelogenous leukaemia 
interferon alfa-n3	0.5	0.0429043718241245	0.833333333333333	0.998712041224032	Human immunodeficiency virus infection 
interferon alfacon-1	0.5	0.0105527669522231	0.833333333333333	0.998712041224032	Hepatitis C virus infection 
interferon beta-1a	0.5	0.0300302298190888	0.833333333333333	0.998712041224032	Multiple sclerosis 
interferon beta-1b	0.5	0.0174020199416134	0.833333333333333	0.998712041224032	Multiple sclerosis 
interferon gamma-1b	0	0.000230549468620556	1	0.999953690253642	Chronic granulomatous disease 
ipilimumab	0	0.0110594039024411	1	0.999953690253642	Melanoma 
isoetharine	0	0.00352536455521137	1	0.999953690253642	Asthma 
isoflurophate	0.666666666666667	0.000483424142383779	0.777777777777778	0.996106348253381	Glaucoma/ocular hypertension 
isoniazid	0	1.66743120651709e-08	1	0.999953690253642	Tuberculosis 
ixekizumab	0	0.0034089547399886	1	0.999953690253642	Psoriatic arthritis 
ixekizumab	0	0.0034089547399886	1	0.999953690253642	Plaque psoriasis 
ketoconazole	0.6	0.0263305048758568	0.8	0.997497768760333	Fungal infection 
ketoprofen	0	2.63598576381684e-07	1	0.999953690253642	Musculoskeletal pain 
ketoprofen	0	2.63598576381684e-07	1	0.999953690253642	Pain 
ketorolac	0	5.95139643284324e-06	1	0.999953690253642	Postoperative inflammation 
leflunomide	0.666666666666667	0.039984255144231	0.777777777777778	0.996106348253381	Arthritis 
leflunomide	0.666666666666667	0.039984255144231	0.777777777777778	0.996106348253381	Multiple sclerosis 
lenalidomide	0.5	0.00441759382286134	0.833333333333333	0.998712041224032	Multiple myeloma 
lepirudin	0	0.013472050856726	1	0.999953690253642	Thrombocytopenia 
letrozole	0	0.00591556961227989	1	0.999953690253642	Hormonally-responsive breast cancer 
levamlodipine	0.75	0.0454686570944587	0.75	0.993240714802178	Hypertension 
levobetaxolol	0	0.00411483763504441	1	0.999953690253642	Chronic open-angle glaucoma 
levobunolol	0	0.00250861804390463	1	0.999953690253642	Open-angle glaucoma 
levonorgestrel	0.2	0.00509478218655059	0.933333333333333	0.999824804040368	Contraception 
lifitegrast	0	0.014830179898632	1	0.999953690253642	Allergic conjunctivitis 
lifitegrast	0	0.014830179898632	1	0.999953690253642	Dry eye disease 
linagliptin	0	3.86539784067624e-05	1	0.999953690253642	Type-2 diabetes 
lopinavir	0.666666666666667	0.000835009966648698	0.777777777777778	0.996106348253381	Human immunodeficiency virus infection 
lornoxicam	0	0.000273474135797204	1	0.999953690253642	Migraine 
lumiracoxib	0	0.000522210497055944	1	0.999953690253642	Knee osteoarthritis 
macimorelin	0	4.33603205100575e-05	1	0.999953690253642	Growth hormone deficiency 
macimorelin	0	4.33603205100575e-05	1	0.999953690253642	Somatotropin deficiency 
macitentan	0.5	0.0214234978042247	0.833333333333333	0.998712041224032	Cardiovascular disease 
malathion	0	3.79504607122699e-06	1	0.999953690253642	Pediculus capitis infestation 
maraviroc	0	0.003059101631187	1	0.999953690253642	Chronic obstructive pulmonary disease 
maraviroc	0	0.003059101631187	1	0.999953690253642	Human immunodeficiency virus infection 
mefenamic acid	0	0.000600993329385527	1	0.999953690253642	Dysmenorrhea 
meloxicam	0	0.000366272933069421	1	0.999953690253642	Arthritis 
menadione	0.769230769230769	0.000658587494026267	0.743589743589744	0.992325177981527	Vitamin K deficiency 
menadione	0.769230769230769	0.000658587494026267	0.743589743589744	0.992325177981527	Prostate cancer 
mercaptopurine	0.5	0.00686283323308301	0.833333333333333	0.998712041224032	Acute lymphoblastic leukaemia 
mesalazine	0.285714285714286	5.71015039484549e-05	0.904761904761905	0.9996901579842	Ulcerative colitis 
mesoridazine	0.5	0.0407943174931928	0.833333333333333	0.998712041224032	Schizophrenia 
methocarbamol	0	0.000683139251857894	1	0.999953690253642	Musculoskeletal disorder 
methotrexate	0	2.43250370925518e-05	1	0.999953690253642	leukaemia 
methotrexate	0	2.43250370925518e-05	1	0.999953690253642	Solid tumour/cancer 
methyl aminolevulinate	0	0.00358432786859548	1	0.999953690253642	Acne vulgaris 
metipranolol	0	0.00172386080320274	1	0.999953690253642	Open-angle glaucoma 
metoprolol	0	0.00363375303537253	1	0.999953690253642	Hypertension 
metyrapone	1	0.0199688854130538	0.666666666666667	0.965333637200135	Cushing disease 
mifamurtide	0	3.92438826128784e-07	1	0.999953690253642	Solid tumour/cancer 
mifepristone	0.5	0.00825545692791682	0.833333333333333	0.998712041224032	Cushing disease 
milrinone	0	0.0157760190226322	1	0.999953690253642	Congestive heart failure 
miltefosine	0	0.00601677807542063	1	0.999953690253642	Leishmaniasis 
miltefosine	0	0.00601677807542063	1	0.999953690253642	Visceral leishmaniasis 
minaprine	1	0.042725056803948	0.666666666666667	0.965333637200135	Depression 
minocycline	0.428571428571429	2.8461427708059e-07	0.857142857142857	0.999198842312641	Bacterial infection 
mirabegron	0	0.00161745595845735	1	0.999953690253642	Overactive bladder 
misoprostol	0.75	0.00465772684125255	0.75	0.993240714802178	Medical abortion 
mitotane	0.4	0.00411272830055316	0.866666666666667	0.999337447943734	Adrenocortical carcinoma 
moexipril	0	0.00030895844755826	1	0.999953690253642	Hypertension 
mometasone	0	0.0037493195525411	1	0.999953690253642	Skin allergy 
muromonab	0.214285714285714	6.61863440749959e-12	0.928571428571429	0.999807338197805	Organ transplant rejection 
nabumetone	0	0.00117810135238814	1	0.999953690253642	Pain 
nadolol	0	0.000911485345824184	1	0.999953690253642	High blood pressure 
naproxen	0	0.00033446477787975	1	0.999953690253642	Pain 
naproxen	0	0.00033446477787975	1	0.999953690253642	Osteoarthritis 
naproxen	0	0.00033446477787975	1	0.999953690253642	Endometriosis 
nebivolol	0	0.000102641527598006	1	0.999953690253642	Hypertension 
nepafenac	0	8.77980206427685e-05	1	0.999953690253642	Osteoarthritis 
netupitant	0	0.0162008023014141	1	0.999953690253642	Chemotherapy-induced nausea 
nilotinib	0.5	0.0113096986876618	0.833333333333333	0.998712041224032	Chronic myelogenous leukaemia 
nimesulide	0.5	0.0222502802208018	0.833333333333333	0.998712041224032	Metastatic colorectal cancer 
nimesulide	0.5	0.0222502802208018	0.833333333333333	0.998712041224032	Non-hodgkin lymphoma 
nimesulide	0.5	0.0222502802208018	0.833333333333333	0.998712041224032	Non-small-cell lung cancer 
nivolumab	0	0.00987829753703751	1	0.999953690253642	Non-small-cell lung cancer 
nivolumab	0	0.00987829753703751	1	0.999953690253642	Melanoma 
norgestimate	0	0.00191420013909588	1	0.999953690253642	Contraception 
nortriptyline	1.08333333333333	0.0174635724418936	0.63888888888889	0.941157896577018	Depression 
olsalazine	0	0.000448126399584343	1	0.999953690253642	Ulcerative colitis 
oprelvekin	0	0.000841868824438045	1	0.999953690253642	Thrombocytopenia 
oxaprozin	0	0.00163228078068042	1	0.999953690253642	Rheumatoid arthritis 
oxprenolol	0	6.70787405933532e-05	1	0.999953690253642	Hypertension 
oxtriphylline	0.6	0.00333646143424695	0.8	0.997497768760333	Cough 
palivizumab	0	3.98485263751224e-14	1	0.999953690253642	Respiratory syncytial virus infection 
pantoprazole	0.5	0.0100851384204738	0.833333333333333	0.998712041224032	Gastroesophageal reflux disease 
paricalcitol	0	0.0466151774612966	1	0.999953690253642	Hyperparathyroidism 
peginterferon alfa-2a	0.5	0.0151664294868651	0.833333333333333	0.998712041224032	Hairy cell leukaemia 
peginterferon alfa-2b	0.5	0.0170314536518801	0.833333333333333	0.998712041224032	Hepatitis C virus infection 
pembrolizumab	0	0.00610967222308836	1	0.999953690253642	Melanoma 
pemetrexed	0.25	9.15671096101568e-06	0.916666666666667	0.999755673275368	Malignant pleural mesothelioma 
pentostatin	0	0.0263788262513599	1	0.999953690253642	Hairy cell leukaemia 
perindopril	0.5	0.0353794578043861	0.833333333333333	0.998712041224032	Hypertension 
phenindione	0	0.0266397701088151	1	0.999953690253642	Coagulation defect 
phenindione	0	0.0266397701088151	1	0.999953690253642	Pulmonary embolism 
pheniramine	0.666666666666667	0.00723169211684596	0.777777777777778	0.996106348253381	Hay fever 
phenprocoumon	0	0.0268132799920443	1	0.999953690253642	Thrombosis 
phenylbutazone	0.333333333333333	0.000915939187943083	0.888888888888889	0.999574707998722	Chronic pain 
pindolol	0.8	0.0254121479553525	0.733333333333333	0.990597991988683	Hypertension 
pirbuterol	0	0.00576863486313516	1	0.999953690253642	Asthma 
piroxicam	0	4.29217115567691e-05	1	0.999953690253642	Pain 
pomalidomide	0.333333333333333	0.00161321479990586	0.888888888888889	0.999574707998722	Systemic sclerosis 
porfimer sodium	0	0.00185017112378603	1	0.999953690253642	Non-small-cell lung cancer 
practolol	0	0.00789661499876828	1	0.999953690253642	Cardiac arrhythmias 
pralatrexate	0	6.68698302285481e-05	1	0.999953690253642	Breast cancer 
pralatrexate	0	6.68698302285481e-05	1	0.999953690253642	Peripheral T-cell lymphoma 
pramlintide	0.5	0.00280776360274938	0.833333333333333	0.998712041224032	Type-1/2 diabetes 
primaquine	0.5	0.0339588267224264	0.833333333333333	0.998712041224032	Malaria 
probenecid	1	0.042369301605816	0.666666666666667	0.965333637200135	Hyperuricaemia 
probenecid	1	0.042369301605816	0.666666666666667	0.965333637200135	Gout 
proflavine	0	0.00228105693436015	1	0.999953690253642	Sepsis 
progesterone	0.5	0.00854758329853815	0.833333333333333	0.998712041224032	Premature labour 
progesterone	0.5	0.00854758329853815	0.833333333333333	0.998712041224032	Contraception 
proguanil	0	0.00525450610556538	1	0.999953690253642	Malaria 
propafenone	0.5	0.0209206796003881	0.833333333333333	0.998712041224032	Tachyarrhythmias 
propranolol	0.8	0.00444564850099592	0.733333333333333	0.990597991988683	Migraine 
pseudoephedrine	0.714285714285714	0.00139800392642148	0.761904761904762	0.994662667265133	Nasal congestion 
quinapril	0	0.0146637086171286	1	0.999953690253642	Hypertension 
raltitrexed	0	7.14954984029423e-06	1	0.999953690253642	Rectal adenocarcinoma 
ramelteon	0	1.58970662223878e-05	1	0.999953690253642	Circadian rhythm sleep disorder 
ramelteon	0	1.58970662223878e-05	1	0.999953690253642	Insomnia 
ramipril	0.5	0.0133350842594505	0.833333333333333	0.998712041224032	Congestive heart failure 
ranibizumab	0	7.20502530022551e-05	1	0.999953690253642	Hereditary hemorrhagic telangiectasia 
