disease	drug	proximity	pval	similarity	adjusted_similarity
Arthritis, Rheumatoid	betaxolol	0	0.00339753793133293	1	0.999953690253642
Arthritis, Rheumatoid	bethanidine	0.857142857142857	0.0175418468047631	0.714285714285714	0.986308456643247
Arthritis, Rheumatoid	bevacizumab	0	6.8703844192044e-16	1	0.999953690253642
Arthritis, Rheumatoid	binimetinib	0.2	7.92048595722278e-07	0.933333333333333	0.999824804040368
Arthritis, Rheumatoid	bisoprolol	0	0.00259089222578789	1	0.999953690253642
Arthritis, Rheumatoid	bivalirudin	0	0.00475262930189151	1	0.999953690253642
Arthritis, Rheumatoid	blinatumomab	0.5	0.0232181578892057	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	bosentan	0.5	0.0416362999677639	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	brolucizumab	0	0.000611773532486205	1	0.999953690253642
Arthritis, Rheumatoid	bromfenac	0	0.000139709790549087	1	0.999953690253642
Arthritis, Rheumatoid	bufexamac	0.5	0.00156539528584946	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	butriptyline	0.333333333333333	0.000775978575928605	0.888888888888889	0.999574707998722
Arthritis, Rheumatoid	calcifediol	0	0.0343387827006148	1	0.999953690253642
Arthritis, Rheumatoid	calcipotriol	0	0.0268132799920443	1	0.999953690253642
Arthritis, Rheumatoid	calcitriol	0.5	0.0488162610446166	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	canakinumab	0	0.0037861140718788	1	0.999953690253642
Arthritis, Rheumatoid	cannabidiol	1.07894736842105	0.000403845964527555	0.640350877192983	0.942753313740161
Arthritis, Rheumatoid	capecitabine	0	0.00330463889886464	1	0.999953690253642
Arthritis, Rheumatoid	captopril	0.4	4.75400800849759e-05	0.866666666666667	0.999337447943734
Arthritis, Rheumatoid	carbidopa	1	0.045787005477403	0.666666666666667	0.965333637200135
Arthritis, Rheumatoid	carbocisteine	0	6.63496460862948e-06	1	0.999953690253642
Arthritis, Rheumatoid	carfilzomib	0.666666666666667	0.027787398263431	0.777777777777778	0.996106348253381
Arthritis, Rheumatoid	carprofen	0	0.000619610240715218	1	0.999953690253642
Arthritis, Rheumatoid	carteolol	0	0.0100780101243638	1	0.999953690253642
Arthritis, Rheumatoid	castor oil	0.5	0.0191661555841579	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	catridecacog	1	0.0355349715584219	0.666666666666667	0.965333637200135
Arthritis, Rheumatoid	catumaxomab	0.285714285714286	1.37725503085178e-08	0.904761904761905	0.9996901579842
Arthritis, Rheumatoid	cefazolin	0	2.93425841295331e-05	1	0.999953690253642
Arthritis, Rheumatoid	celiprolol	0.833333333333333	0.0338390948956011	0.722222222222222	0.988290836073263
Arthritis, Rheumatoid	cemiplimab	0	0.00697280550607278	1	0.999953690253642
Arthritis, Rheumatoid	certolizumab pegol	0	4.10349678958117e-05	1	0.999953690253642
Arthritis, Rheumatoid	cetuximab	0.0909090909090909	1.53511619094078e-13	0.96969696969697	0.99991521071131
Arthritis, Rheumatoid	chlorothiazide	0.666666666666667	0.00931121196145703	0.777777777777778	0.996106348253381
Arthritis, Rheumatoid	chlorprothixene	1.08333333333333	0.0480891793547118	0.63888888888889	0.941157896577018
Arthritis, Rheumatoid	cholecalciferol	0	0.0168486203632545	1	0.999953690253642
Arthritis, Rheumatoid	choline magnesium trisalicylate	0	0.000631529596826754	1	0.999953690253642
Arthritis, Rheumatoid	chondroitin sulfate	0.5	0.0023208199102129	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	cilazapril	0	0.0148474736925965	1	0.999953690253642
Arthritis, Rheumatoid	cilostazol	0	0.00313750194961989	1	0.999953690253642
Arthritis, Rheumatoid	cisapride	0.75	0.0062393105671946	0.75	0.993240714802178
Arthritis, Rheumatoid	cisplatin	0.25	6.20447061794629e-06	0.916666666666667	0.999755673275368
Arthritis, Rheumatoid	citalopram	0.5	0.0225403497883854	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	citrulline	0.75	5.37551149946742e-08	0.75	0.993240714802178
Arthritis, Rheumatoid	clenbuterol	0.2	4.82160996353204e-07	0.933333333333333	0.999824804040368
Arthritis, Rheumatoid	clomipramine	0.666666666666667	0.00230037279633075	0.777777777777778	0.996106348253381
Arthritis, Rheumatoid	clove oil	0.5	0.0213653224359065	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	cobimetinib	0	0.0343387827006148	1	0.999953690253642
Arthritis, Rheumatoid	coccidioides immitis spherule	0	3.22346666254565e-09	1	0.999953690253642
Arthritis, Rheumatoid	conestat alfa	0.666666666666667	0.00252264449837826	0.777777777777778	0.996106348253381
Arthritis, Rheumatoid	copper	0.955882352941177	3.69629336802291e-06	0.681372549019608	0.973921935575015
Arthritis, Rheumatoid	curcumin	0.4	0.00431578119395459	0.866666666666667	0.999337447943734
Arthritis, Rheumatoid	cyanocobalamin	0.833333333333333	9.45582422722814e-05	0.722222222222222	0.988290836073263
Arthritis, Rheumatoid	cyclobenzaprine	0.888888888888889	0.0336052440482751	0.703703703703704	0.983142716498906
Arthritis, Rheumatoid	dabigatran etexilate	0	0.013472050856726	1	0.999953690253642
Arthritis, Rheumatoid	dalteparin	0.75	0.0335818452479343	0.75	0.993240714802178
Arthritis, Rheumatoid	danazol	0.4	0.00891380748804811	0.866666666666667	0.999337447943734
Arthritis, Rheumatoid	daratumumab	0	0.0157595530055813	1	0.999953690253642
Arthritis, Rheumatoid	darolutamide	0	0.0141113739999048	1	0.999953690253642
Arthritis, Rheumatoid	defibrotide	0.666666666666667	0.0342115578677477	0.777777777777778	0.996106348253381
Arthritis, Rheumatoid	denileukin diftitox	0.333333333333333	0.000672119465681958	0.888888888888889	0.999574707998722
Arthritis, Rheumatoid	denosumab	0	0.000958758037258479	1	0.999953690253642
Arthritis, Rheumatoid	deoxycholic acid	0.666666666666667	0.0269625741651983	0.777777777777778	0.996106348253381
Arthritis, Rheumatoid	desogestrel	0	4.10349678958117e-05	1	0.999953690253642
Arthritis, Rheumatoid	dexamethasone	0.6	0.0323886758786743	0.8	0.997497768760333
Arthritis, Rheumatoid	dexfenfluramine	0.5	0.01649865841085	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	dexibuprofen	0.666666666666667	0.00010867058385464	0.777777777777778	0.996106348253381
Arthritis, Rheumatoid	dexketoprofen	0	0.000111367123340403	1	0.999953690253642
Arthritis, Rheumatoid	dexlansoprazole	0.666666666666667	0.00231012759180464	0.777777777777778	0.996106348253381
Arthritis, Rheumatoid	diacerein	0.333333333333333	4.7822733412776e-10	0.888888888888889	0.999574707998722
Arthritis, Rheumatoid	diclofenac	0	0.000215067158247367	1	0.999953690253642
Arthritis, Rheumatoid	dicoumarol	0.333333333333333	0.00272759652804087	0.888888888888889	0.999574707998722
Arthritis, Rheumatoid	dienogest	0	0.00191420013909588	1	0.999953690253642
Arthritis, Rheumatoid	diethylcarbamazine	0.5	0.00743309710846585	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	diflunisal	0	1.56486355842787e-05	1	0.999953690253642
Arthritis, Rheumatoid	difluocortolone	0	0.00241502114633555	1	0.999953690253642
Arthritis, Rheumatoid	dinoprostone	1	0.01542992844928	0.666666666666667	0.965333637200135
Arthritis, Rheumatoid	diphemanil	0	0.0111274016753387	1	0.999953690253642
Arthritis, Rheumatoid	dipivefrin	0.8	0.0262516331326951	0.733333333333333	0.990597991988683
Arthritis, Rheumatoid	dipyrithione	0	0.000161283123187535	1	0.999953690253642
Arthritis, Rheumatoid	donepezil	0.933333333333333	0.0378420206518606	0.688888888888889	0.977473184500297
Arthritis, Rheumatoid	doxepin	1.15789473684211	0.0117223510592895	0.614035087719297	0.906883774524068
Arthritis, Rheumatoid	drospirenone	0.25	0.00394496696416136	0.916666666666667	0.999755673275368
Arthritis, Rheumatoid	drotrecogin alfa	0.833333333333333	0.00450387512363654	0.722222222222222	0.988290836073263
Arthritis, Rheumatoid	dupilumab	0	0.00634771342066102	1	0.999953690253642
Arthritis, Rheumatoid	durvalumab	0	4.69855392851235e-05	1	0.999953690253642
Arthritis, Rheumatoid	dydrogesterone	0	4.10349678958117e-05	1	0.999953690253642
Arthritis, Rheumatoid	echothiophate	0	7.93779689483734e-08	1	0.999953690253642
Arthritis, Rheumatoid	eculizumab	0	0.0124478483681481	1	0.999953690253642
Arthritis, Rheumatoid	efalizumab	0	1.00191525130104e-16	1	0.999953690253642
Arthritis, Rheumatoid	emapalumab	0	0.00642889704118585	1	0.999953690253642
Arthritis, Rheumatoid	enalapril	0	0.0138150546214141	1	0.999953690253642
Arthritis, Rheumatoid	enalaprilat	0.5	0.00553635972622351	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	encorafenib	0.5	0.0266397701088151	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	enoximone	0	0.000109654864703868	1	0.999953690253642
Arthritis, Rheumatoid	enprofylline	0.833333333333333	0.0105962837652991	0.722222222222222	0.988290836073263
Arthritis, Rheumatoid	enzacamene	0	0.00562321745446086	1	0.999953690253642
Arthritis, Rheumatoid	erenumab	0	0.00707124038333861	1	0.999953690253642
Arthritis, Rheumatoid	esmolol	0	0.0106586025352712	1	0.999953690253642
Arthritis, Rheumatoid	esomeprazole	0.5	0.00824911011469896	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	estrone	0.2	0.00726270241047524	0.933333333333333	0.999824804040368
Arthritis, Rheumatoid	etanercept	0.0769230769230769	1.30869151343816e-14	0.974358974358974	0.99992274419174
Arthritis, Rheumatoid	ethinamate	0.5	0.00475262930189152	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	ethynodiol diacetate	0	0.000370197764702743	1	0.999953690253642
Arthritis, Rheumatoid	etodolac	0.333333333333333	0.000104410409855031	0.888888888888889	0.999574707998722
Arthritis, Rheumatoid	etonogestrel	0	0.000143540578803737	1	0.999953690253642
Arthritis, Rheumatoid	etoricoxib	0	0.00166977083450618	1	0.999953690253642
Arthritis, Rheumatoid	exemestane	0	0.00960400493048852	1	0.999953690253642
Arthritis, Rheumatoid	fenfluramine	0.5	0.00464086487736003	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	fenoprofen	0.25	0.000522861835383114	0.916666666666667	0.999755673275368
Arthritis, Rheumatoid	fenoterol	0	3.81786578405273e-07	1	0.999953690253642
Arthritis, Rheumatoid	flavin mononucleotide	0.9	0.00427514492071311	0.7	0.981872738163507
Arthritis, Rheumatoid	floxuridine	0	0.000120538516227595	1	0.999953690253642
Arthritis, Rheumatoid	flufenamic acid	0.5	0.0207213533055275	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	fluocinolone acetonide	0.666666666666667	0.00616066356539009	0.777777777777778	0.996106348253381
Arthritis, Rheumatoid	fluorouracil	0	0.00141806632782734	1	0.999953690253642
Arthritis, Rheumatoid	flurbiprofen	0	0.000150034456017074	1	0.999953690253642
Arthritis, Rheumatoid	fluticasone	0.5	0.0153312027460797	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	fluticasone furoate	0.333333333333333	0.0150265405036574	0.888888888888889	0.999574707998722
Arthritis, Rheumatoid	fluticasone propionate	0.5	0.0220355087937357	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	folic acid	1	0.0456879708436651	0.666666666666667	0.965333637200135
Arthritis, Rheumatoid	foreskin fibroblast (neonatal)	0.6	0.000314415469090165	0.8	0.121306920056198
Arthritis, Rheumatoid	foreskin keratinocyte (neonatal)	0.454545454545455	3.03449816511827e-06	0.848484848484848	0.183133045959313
Arthritis, Rheumatoid	formoterol	0	0.000181270188819275	1	0.999953690253642
Arthritis, Rheumatoid	fosinopril	0	0.0138258183538257	1	0.999953690253642
Arthritis, Rheumatoid	fosnetupitant	0	0.0123292572350124	1	0.999953690253642
Arthritis, Rheumatoid	fostamatinib	0.972972972972973	0.000763064852750966	0.675675675675676	0.970872877869695
Arthritis, Rheumatoid	gemtuzumab ozogamicin	0.181818181818182	2.08719875162924e-13	0.939393939393939	0.99984476283773
Arthritis, Rheumatoid	gentamicin	0.5	0.0063490200035374	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	gestrinone	0.5	0.0416467380771212	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	gimeracil	0	0.000494791332597229	1	0.999953690253642
Arthritis, Rheumatoid	ginseng	0.333333333333333	0.000899270377876622	0.888888888888889	0.999574707998722
Arthritis, Rheumatoid	glatiramer	0	0.00439442401552821	1	0.999953690253642
Arthritis, Rheumatoid	glucosamine	0	8.19313163365515e-08	1	0.999953690253642
Arthritis, Rheumatoid	glycine betaine	0	0.0089291314988845	1	0.999953690253642
Arthritis, Rheumatoid	glycol salicylate	0	7.95607727450691e-05	1	0.999953690253642
Arthritis, Rheumatoid	glycyrrhizic acid	0.333333333333333	2.14235712260346e-05	0.888888888888889	0.999574707998722
Arthritis, Rheumatoid	golimumab	0	0.000137262833944128	1	0.999953690253642
Arthritis, Rheumatoid	guanidine	0.75	0.0222009547713303	0.75	0.993240714802178
Arthritis, Rheumatoid	guselkumab	0	0.0169670876471517	1	0.999953690253642
Arthritis, Rheumatoid	hexafluronium	0	1.82004396295719e-05	1	0.999953690253642
Arthritis, Rheumatoid	homosalate	0	0.00650099884004575	1	0.999953690253642
Arthritis, Rheumatoid	human c1-esterase inhibitor	0.666666666666667	0.0039477783572364	0.777777777777778	0.996106348253381
Arthritis, Rheumatoid	human immunoglobulin g	0.1	2.95516494216439e-15	0.966666666666667	0.99990992438705
Arthritis, Rheumatoid	human thrombin	0.625	0.000518798431653956	0.791666666666667	0.997046280265764
Arthritis, Rheumatoid	hyaluronic acid	0.916666666666667	0.023175436558684	0.694444444444444	0.979789878393527
Arthritis, Rheumatoid	hydroxocobalamin	1.11111111111111	0.00290299693037397	0.62962962962963	0.930048617299973
Arthritis, Rheumatoid	hydroxychloroquine	0	0.0014534568667212	1	0.999953690253642
Arthritis, Rheumatoid	hydroxyprogesterone caproate	0	4.10349678958117e-05	1	0.999953690253642
Arthritis, Rheumatoid	ibalizumab	0.333333333333333	3.64119247814276e-05	0.888888888888889	0.999574707998722
Arthritis, Rheumatoid	ibritumomab tiuxetan	0.181818181818182	2.92983293585694e-13	0.939393939393939	0.99984476283773
Arthritis, Rheumatoid	ibuprofen	0.6	0.00167280905792544	0.8	0.997497768760333
Arthritis, Rheumatoid	icatibant	0.5	0.00253341447992248	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	icosapent	0.909090909090909	0.0152124460599231	0.696969696969697	0.980764204865306
Arthritis, Rheumatoid	imiquimod	0	5.8204034955892e-05	1	0.999953690253642
Arthritis, Rheumatoid	infliximab	0	4.10349678958117e-05	1	0.999953690253642
Arthritis, Rheumatoid	insulin pork	0.866666666666667	0.00433173089478526	0.711111111111111	0.985425857360648
Arthritis, Rheumatoid	interferon alfa-2b	0.5	0.0170314536518801	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	interferon alfa-n1	0.5	0.0344995759627837	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	interferon alfa-n3	0.5	0.0429043718241245	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	interferon alfacon-1	0.5	0.0105527669522231	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	interferon beta-1a	0.5	0.0300302298190888	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	interferon beta-1b	0.5	0.0174020199416134	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	interferon gamma-1b	0	0.000230549468620556	1	0.999953690253642
Arthritis, Rheumatoid	ipilimumab	0	0.0110594039024411	1	0.999953690253642
Arthritis, Rheumatoid	isoetharine	0	0.00352536455521137	1	0.999953690253642
Arthritis, Rheumatoid	isoflurophate	0.666666666666667	0.000483424142383779	0.777777777777778	0.996106348253381
Arthritis, Rheumatoid	isoniazid	0	1.66743120651709e-08	1	0.999953690253642
Arthritis, Rheumatoid	isoprenaline	0.5	2.24856646748321e-06	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	isopropamide	0.5	0.00626983482698322	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	istradefylline	0.5	0.0431740457557222	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	ixekizumab	0	0.0034089547399886	1	0.999953690253642
Arthritis, Rheumatoid	kaletra	0.714285714285714	0.000280112799955059	0.761904761904762	0.994662667265133
Arthritis, Rheumatoid	ketoconazole	0.6	0.0263305048758568	0.8	0.997497768760333
Arthritis, Rheumatoid	ketoprofen	0	2.63598576381684e-07	1	0.999953690253642
Arthritis, Rheumatoid	ketorolac	0	5.95139643284324e-06	1	0.999953690253642
Arthritis, Rheumatoid	keyhole limpet hemocyanin	0	0.00988956202926295	1	0.999953690253642
Arthritis, Rheumatoid	leflunomide	0.666666666666667	0.039984255144231	0.777777777777778	0.996106348253381
Arthritis, Rheumatoid	lenalidomide	0.5	0.00441759382286134	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	lepirudin	0	0.013472050856726	1	0.999953690253642
Arthritis, Rheumatoid	letrozole	0	0.00591556961227989	1	0.999953690253642
Arthritis, Rheumatoid	levamlodipine	0.75	0.0454686570944587	0.75	0.993240714802178
Arthritis, Rheumatoid	levobetaxolol	0	0.00411483763504441	1	0.999953690253642
Arthritis, Rheumatoid	levobunolol	0	0.00250861804390463	1	0.999953690253642
Arthritis, Rheumatoid	levonorgestrel	0.2	0.00509478218655059	0.933333333333333	0.999824804040368
Arthritis, Rheumatoid	lifitegrast	0	0.014830179898632	1	0.999953690253642
Arthritis, Rheumatoid	linagliptin	0	3.86539784067624e-05	1	0.999953690253642
Arthritis, Rheumatoid	lopinavir	0.666666666666667	0.000835009966648698	0.777777777777778	0.996106348253381
Arthritis, Rheumatoid	lornoxicam	0	0.000273474135797204	1	0.999953690253642
Arthritis, Rheumatoid	loxoprofen	0	0.000405710865271126	1	0.999953690253642
Arthritis, Rheumatoid	lumateperone	0.6	0.0114114678531483	0.8	0.997497768760333
Arthritis, Rheumatoid	lumiracoxib	0	0.000522210497055944	1	0.999953690253642
Arthritis, Rheumatoid	lyme disease vaccine (recombinant ospa)	0	0.000323168204676333	1	0.504971885191626
Arthritis, Rheumatoid	macimorelin	0	4.33603205100575e-05	1	0.999953690253642
Arthritis, Rheumatoid	macitentan	0.5	0.0214234978042247	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	malathion	0	3.79504607122699e-06	1	0.999953690253642
Arthritis, Rheumatoid	manganese	0.6	0.00957441187033674	0.8	0.997497768760333
Arthritis, Rheumatoid	maraviroc	0	0.003059101631187	1	0.999953690253642
Arthritis, Rheumatoid	medrogestone	0	4.10349678958117e-05	1	0.999953690253642
Arthritis, Rheumatoid	mefenamic acid	0	0.000600993329385527	1	0.999953690253642
Arthritis, Rheumatoid	megestrol acetate	0	0.000755367851640562	1	0.999953690253642
Arthritis, Rheumatoid	meloxicam	0	0.000366272933069421	1	0.999953690253642
Arthritis, Rheumatoid	menadione	0.769230769230769	0.000658587494026267	0.743589743589744	0.992325177981527
Arthritis, Rheumatoid	menthyl salicylate	0	0.000159108590157534	1	0.999953690253642
Arthritis, Rheumatoid	mercaptopurine	0.5	0.00686283323308301	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	mesalazine	0.285714285714286	5.71015039484549e-05	0.904761904761905	0.9996901579842
Arthritis, Rheumatoid	mesoridazine	0.5	0.0407943174931928	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	metamizole	0	0.0119194455153501	1	0.999953690253642
Arthritis, Rheumatoid	methacholine	0	0.0202072542549996	1	0.999953690253642
Arthritis, Rheumatoid	methocarbamol	0	0.000683139251857894	1	0.999953690253642
Arthritis, Rheumatoid	methotrexate	0	2.43250370925518e-05	1	0.999953690253642
Arthritis, Rheumatoid	methyl aminolevulinate	0	0.00358432786859548	1	0.999953690253642
Arthritis, Rheumatoid	metipranolol	0	0.00172386080320274	1	0.999953690253642
Arthritis, Rheumatoid	metoprolol	0	0.00363375303537253	1	0.999953690253642
Arthritis, Rheumatoid	metyrapone	1	0.0199688854130538	0.666666666666667	0.965333637200135
Arthritis, Rheumatoid	mifamurtide	0	3.92438826128784e-07	1	0.999953690253642
Arthritis, Rheumatoid	mifepristone	0.5	0.00825545692791682	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	milrinone	0	0.0157760190226322	1	0.999953690253642
Arthritis, Rheumatoid	miltefosine	0	0.00601677807542063	1	0.999953690253642
Arthritis, Rheumatoid	minaprine	1	0.042725056803948	0.666666666666667	0.965333637200135
Arthritis, Rheumatoid	minocycline	0.428571428571429	2.8461427708059e-07	0.857142857142857	0.999198842312641
Arthritis, Rheumatoid	mirabegron	0	0.00161745595845735	1	0.999953690253642
Arthritis, Rheumatoid	misoprostol	0.75	0.00465772684125255	0.75	0.993240714802178
Arthritis, Rheumatoid	mitotane	0.4	0.00411272830055316	0.866666666666667	0.999337447943734
Arthritis, Rheumatoid	moexipril	0	0.00030895844755826	1	0.999953690253642
Arthritis, Rheumatoid	mometasone	0	0.0037493195525411	1	0.999953690253642
Arthritis, Rheumatoid	mometasone furoate	0	0.00186352132845065	1	0.999953690253642
Arthritis, Rheumatoid	muromonab	0.214285714285714	6.61863440749959e-12	0.928571428571429	0.999807338197805
Arthritis, Rheumatoid	mycophenolic acid	0.5	0.034970312371616	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	nabumetone	0	0.00117810135238814	1	0.999953690253642
Arthritis, Rheumatoid	nadolol	0	0.000911485345824184	1	0.999953690253642
Arthritis, Rheumatoid	naproxen	0	0.00033446477787975	1	0.999953690253642
Arthritis, Rheumatoid	natalizumab	0	2.64922296541614e-16	1	0.999953690253642
Arthritis, Rheumatoid	nebivolol	0	0.000102641527598006	1	0.999953690253642
Arthritis, Rheumatoid	nepafenac	0	8.77980206427685e-05	1	0.999953690253642
Arthritis, Rheumatoid	netupitant	0	0.0162008023014141	1	0.999953690253642
Arthritis, Rheumatoid	nilotinib	0.5	0.0113096986876618	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	nimesulide	0.5	0.0222502802208018	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	nivolumab	0	0.00987829753703751	1	0.999953690253642
